tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt3280456	tvEpisode	The Deer Hunters	The Deer Hunters	0	2014	\N	89	Crime,Drama,Mystery
tt3280458	tvEpisode	Death of a Family Man	Death of a Family Man	0	2014	\N	89	Crime,Drama,Mystery
tt3281102	tvEpisode	The Good Soldier	The Good Soldier	0	2014	\N	60	Action,Adventure,Crime
tt3283790	tvEpisode	The Next Week	The Next Week	0	2013	\N	43	Crime,Drama,Mystery
tt3284012	tvEpisode	The Drone Queen	The Drone Queen	0	2014	\N	49	Crime,Drama,Mystery
tt3285896	tvEpisode	One-Two-Three Go...	One-Two-Three Go...	0	2014	\N	43	Comedy,Drama
tt32875151	tvEpisode	Hangover	Hangover	0	2024	\N	43	Comedy,Crime,Drama
tt32879090	tvEpisode	Crash Helmets On	Crash Helmets On	0	2025	\N	43	Crime,Drama
tt3290122	tvEpisode	The Ring	The Ring	0	2013	\N	42	Comedy,Drama
tt3291628	tvEpisode	The Crossing	The Crossing	0	2013	\N	44	Action,Crime,Drama
tt3295662	tvEpisode	Blood Is Thicker	Blood Is Thicker	0	2013	\N	43	Action,Adventure,Crime
tt3297502	tvEpisode	Chapter 24	Chapter 24	0	2014	\N	54	Drama,Thriller
tt3297776	tvEpisode	No Sanctuary	No Sanctuary	0	2014	\N	42	Drama,Horror,Thriller
tt3297842	tvEpisode	Somebody That I Used to Know	Somebody That I Used to Know	0	2013	\N	43	Drama,Romance
tt3303726	tvEpisode	The Itchy Brain Simulation	The Itchy Brain Simulation	0	2013	\N	21	Comedy,Romance
tt3305378	tvEpisode	The Dude in the Dam	The Dude in the Dam	0	2013	\N	44	Crime,Drama,Mystery
tt3305416	tvEpisode	Election Day	Election Day	0	2013	\N	42	Comedy,Drama
tt3305482	tvEpisode	Cangku Shisi	Cangku Shisi	0	2014	\N	43	Adventure,Drama,Mystery
tt33056263	tvEpisode	Obsessed	Obsessed	0	2025	\N	42	Comedy,Crime,Drama
tt33070986	tvEpisode	Episode #4.1	Episode #4.1	0	2028	\N	\N	Action,Adventure,Drama
tt3307548	tvEpisode	The Show Must Go On	The Show Must Go On	0	2014	\N	43	Action,Adventure,Crime
tt33076347	tvEpisode	Episode #3.3	Episode #3.3	0	2026	\N	\N	Action,Adventure,Drama
tt3307766	tvEpisode	Phase Six	Phase Six	0	2014	\N	44	Action,Drama,Sci-Fi
tt33085454	tvEpisode	Take Me to Church	Take Me to Church	0	2024	\N	43	Drama,Romance
tt3309570	tvEpisode	The Thanksgiving Decoupling	The Thanksgiving Decoupling	0	2013	\N	20	Comedy,Romance
tt33096585	tvEpisode	The RAMs	The RAMs	0	2025	\N	43	Comedy,Crime,Drama
tt33100407	tvEpisode	The Devil You Woe	The Devil You Woe	0	2025	\N	61	Comedy,Crime,Fantasy
tt33100412	tvEpisode	Call of the Woe	Call of the Woe	0	2025	\N	59	Comedy,Crime,Fantasy
tt33100413	tvEpisode	If These Woes Could Talk	If These Woes Could Talk	0	2025	\N	60	Comedy,Crime,Fantasy
tt33100417	tvEpisode	Hyde and Woe Seek	Hyde and Woe Seek	0	2025	\N	51	Comedy,Crime,Fantasy
tt33100419	tvEpisode	Woe Thyself	Woe Thyself	0	2025	\N	69	Comedy,Crime,Fantasy
tt3310088	tvEpisode	The Wild Hunt	The Wild Hunt	0	2014	\N	42	Action,Adventure,Crime
tt33106801	tvEpisode	Chutes and Murders	Chutes and Murders	0	2025	\N	43	Comedy,Crime,Drama
tt33111769	tvEpisode	Episode #1.1	Episode #1.1	0	2024	\N	57	Comedy,Crime,Drama
tt33111805	tvEpisode	Episode #1.2	Episode #1.2	0	2024	\N	58	Comedy,Crime,Drama
tt33111848	tvEpisode	Episode #1.3	Episode #1.3	0	2024	\N	58	Comedy,Crime,Drama
tt3313070	tvEpisode	Advanced Advanced Dungeons & Dragons	Advanced Advanced Dungeons & Dragons	0	2014	\N	21	Comedy
tt3313074	tvEpisode	G.I. Jeff	G.I. Jeff	0	2014	\N	21	Comedy
tt3313076	tvEpisode	Basic Story	Basic Story	0	2014	\N	21	Comedy
tt3313082	tvEpisode	Basic Sandwich	Basic Sandwich	0	2014	\N	20	Comedy
tt3313168	tvEpisode	The Fury in the Jury	The Fury in the Jury	0	2013	\N	44	Crime,Drama,Mystery
tt3313172	tvEpisode	The Mystery in the Meat	The Mystery in the Meat	0	2013	\N	43	Crime,Drama,Mystery
tt33132135	tvEpisode	Episode #1.4	Episode #1.4	0	2024	\N	54	Comedy,Crime,Drama
tt33132137	tvEpisode	Episode #1.5	Episode #1.5	0	2024	\N	58	Comedy,Crime,Drama
tt33132140	tvEpisode	Episode #1.6	Episode #1.6	0	2024	\N	59	Comedy,Crime,Drama
tt3314556	tvEpisode	Governed by Sound Reason and True Religion	Governed by Sound Reason and True Religion	0	2014	\N	43	Drama,Sci-Fi,Thriller
tt3314576	tvEpisode	Mingling Its Own Nature with It	Mingling Its Own Nature with It	0	2014	\N	44	Drama,Sci-Fi,Thriller
tt3315256	tvEpisode	Who I Want to Be	Who I Want to Be	0	2013	\N	40	Action,Comedy,Drama
tt3315358	tvEpisode	Old Jenna	Old Jenna	0	2013	\N	20	Action,Comedy,Drama
tt3316794	tvEpisode	Claimed	Claimed	0	2014	\N	42	Drama,Horror,Thriller
tt3316796	tvEpisode	Alone	Alone	0	2014	\N	42	Drama,Horror,Thriller
tt3316798	tvEpisode	After	After	0	2014	\N	42	Drama,Horror,Thriller
tt3316800	tvEpisode	The Grove	The Grove	0	2014	\N	42	Drama,Horror,Thriller
tt3317356	tvEpisode	Mom and Dad	Mom and Dad	0	2013	\N	22	Comedy,Drama,Romance
tt3317624	tvEpisode	On the Line	On the Line	0	2013	\N	43	Action,Adventure,Crime
tt3326204	tvEpisode	Chapter 25	Chapter 25	0	2014	\N	48	Drama,Thriller
tt3326208	tvEpisode	Chapter 26	Chapter 26	0	2014	\N	60	Drama,Thriller
tt3329472	tvEpisode	Revelation	Revelation	0	2014	\N	44	Action,Adventure,Crime
tt33310267	tvEpisode	Woe Me the Money	Woe Me the Money	0	2025	\N	55	Comedy,Crime,Fantasy
tt33310268	tvEpisode	This Means Woe	This Means Woe	0	2025	\N	48	Comedy,Crime,Fantasy
tt33311082	tvEpisode	I Can See Clearly Now	I Can See Clearly Now	0	2024	\N	43	Drama,Romance
tt33311086	tvEpisode	This One's for the Girls	This One's for the Girls	0	2024	\N	43	Drama,Romance
tt3331420	tvEpisode	Lethe	Lethe	0	2013	\N	44	Action,Crime,Drama
tt3331424	tvEpisode	Aletheia	Aletheia	0	2014	\N	44	Action,Crime,Drama
tt3331436	tvEpisode	Bedtime Stories	Bedtime Stories	0	2013	\N	21	Comedy,Drama,Romance
tt3331452	tvEpisode	The Devil's Share	The Devil's Share	0	2013	\N	43	Action,Crime,Drama
tt3331478	tvEpisode	Man on the Moon	Man on the Moon	0	2013	\N	43	Drama,Romance
tt3331678	tvEpisode	Whack-a-Mole	Whack-a-Mole	0	2013	\N	43	Crime,Drama,Mystery
tt3331928	tvEpisode	Get Up, Stand Up	Get Up, Stand Up	0	2013	\N	43	Drama,Romance
tt33342933	tvEpisode	Teeth Marks	Teeth Marks	0	2025	\N	\N	Crime,Drama,Mystery
tt3337724	tvEpisode	The Cooper Extraction	The Cooper Extraction	0	2013	\N	21	Comedy,Romance
tt3337728	tvEpisode	The Hesitation Ramification	The Hesitation Ramification	0	2014	\N	21	Comedy,Romance
tt3337730	tvEpisode	The Occupation Recalibration	The Occupation Recalibration	0	2014	\N	21	Comedy,Romance
